@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}
@attribute outputs-3 {0,1,2,3,4,5}

@data
214,'2024/12/09 03:08:17:411',1,-14406,-3916,8183,3819,3216,767,?,?,?
215,'2024/12/09 03:08:17:427',1,-14406,-3916,8183,3819,3216,767,?,?,?
216,'2024/12/09 03:08:17:445',1,-14406,-3916,8183,3819,3216,767,?,?,?
217,'2024/12/09 03:08:17:465',1,-13541,-3274,8818,5095,4514,942,?,?,?
218,'2024/12/09 03:08:17:485',1,-13541,-3274,8818,5095,4514,942,?,?,?
219,'2024/12/09 03:08:17:505',1,-14837,-3457,8154,3571,6201,1848,?,?,?
220,'2024/12/09 03:08:17:522',1,-14837,-3457,8154,3571,6201,1848,?,?,?
221,'2024/12/09 03:08:17:539',1,-14837,-3457,8154,3571,6201,1848,?,?,?
222,'2024/12/09 03:08:17:557',1,-14449,-2682,6944,6423,5122,1685,?,?,?
223,'2024/12/09 03:08:17:575',1,-14449,-2682,6944,6423,5122,1685,?,?,?
224,'2024/12/09 03:08:17:593',1,-14449,-2682,6944,6423,5122,1685,?,?,?
225,'2024/12/09 03:08:17:611',1,-14588,-1925,7137,3537,3357,391,?,?,?
226,'2024/12/09 03:08:17:629',1,-14588,-1925,7137,3537,3357,391,?,?,?
227,'2024/12/09 03:08:17:647',1,-14588,-1925,7137,3537,3357,391,?,?,?
228,'2024/12/09 03:08:17:667',1,-14716,-2124,5563,5355,3298,802,?,?,?
229,'2024/12/09 03:08:17:684',1,-14716,-2124,5563,5355,3298,802,?,?,?
230,'2024/12/09 03:08:17:700',1,-14716,-2124,5563,5355,3298,802,?,?,?
231,'2024/12/09 03:08:17:718',1,-15094,-1339,6010,3398,2130,455,?,?,?
232,'2024/12/09 03:08:17:736',1,-15094,-1339,6010,3398,2130,455,?,?,?
233,'2024/12/09 03:08:17:756',1,-15094,-1339,6010,3398,2130,455,?,?,?
234,'2024/12/09 03:08:17:775',1,-14776,-1470,5826,2377,2703,1186,?,?,?
235,'2024/12/09 03:08:17:791',1,-14776,-1470,5826,2377,2703,1186,?,?,?
236,'2024/12/09 03:08:17:809',1,-14776,-1470,5826,2377,2703,1186,?,?,?
237,'2024/12/09 03:08:17:829',1,-15539,-891,5810,3267,331,1104,?,?,?
238,'2024/12/09 03:08:17:848',1,-15539,-891,5810,3267,331,1104,?,?,?
239,'2024/12/09 03:08:17:867',1,-15539,-891,5810,3267,331,1104,?,?,?
240,'2024/12/09 03:08:17:886',1,-16471,-536,6198,3158,-3014,1862,?,?,?
241,'2024/12/09 03:08:17:903',1,-16471,-536,6198,3158,-3014,1862,?,?,?
242,'2024/12/09 03:08:17:919',1,-16471,-536,6198,3158,-3014,1862,?,?,?
243,'2024/12/09 03:08:17:936',1,-16471,-536,6198,3158,-3014,1862,?,?,?
244,'2024/12/09 03:08:17:954',1,-17992,569,6586,4447,-15714,4017,?,?,?
245,'2024/12/09 03:08:17:971',1,-17992,569,6586,4447,-15714,4017,?,?,?
246,'2024/12/09 03:08:17:990',1,-17992,569,6586,4447,-15714,4017,?,?,?
247,'2024/12/09 03:08:18:008',1,-14226,-360,8662,664,-32766,8954,?,?,?
248,'2024/12/09 03:08:18:026',1,-14226,-360,8662,664,-32766,8954,?,?,?
249,'2024/12/09 03:08:18:046',1,-14226,-360,8662,664,-32766,8954,?,?,?
250,'2024/12/09 03:08:18:066',1,-17294,-936,10156,4410,-32766,12187,?,?,?
251,'2024/12/09 03:08:18:086',1,-17294,-936,10156,4410,-32766,12187,?,?,?
252,'2024/12/09 03:08:18:102',1,636,365,11641,4727,-32766,20521,?,?,?
253,'2024/12/09 03:08:18:118',1,636,365,11641,4727,-32766,20521,?,?,?
254,'2024/12/09 03:08:18:136',1,636,365,11641,4727,-32766,20521,?,?,?
255,'2024/12/09 03:08:18:157',1,5840,1136,9917,9781,-32766,17823,?,?,?
256,'2024/12/09 03:08:18:175',1,5840,1136,9917,9781,-32766,17823,?,?,?
257,'2024/12/09 03:08:18:191',1,5840,1136,9917,9781,-32766,17823,?,?,?
258,'2024/12/09 03:08:18:212',1,5840,1136,9917,9781,-32766,17823,?,?,?
259,'2024/12/09 03:08:18:230',1,13905,2419,4910,10716,-32766,12601,?,?,?
260,'2024/12/09 03:08:18:247',1,13905,2419,4910,10716,-32766,12601,?,?,?
261,'2024/12/09 03:08:18:264',1,13905,2419,4910,10716,-32766,12601,?,?,?
262,'2024/12/09 03:08:18:284',1,16738,1752,456,10434,-29722,8958,?,?,?
263,'2024/12/09 03:08:18:302',1,16738,1752,456,10434,-29722,8958,?,?,?
264,'2024/12/09 03:08:18:319',1,18197,1770,-5207,7436,-19345,7422,?,?,?
265,'2024/12/09 03:08:18:339',1,18197,1770,-5207,7436,-19345,7422,?,?,?
266,'2024/12/09 03:08:18:358',1,18197,1770,-5207,7436,-19345,7422,?,?,?
267,'2024/12/09 03:08:18:375',1,18197,1770,-5207,7436,-19345,7422,?,?,?
268,'2024/12/09 03:08:18:394',1,17349,1569,-4333,2618,-14562,4716,?,?,?
269,'2024/12/09 03:08:18:413',1,17349,1569,-4333,2618,-14562,4716,?,?,?
270,'2024/12/09 03:08:18:431',1,17376,565,-5663,1481,-9351,3665,?,?,?
271,'2024/12/09 03:08:18:449',1,17376,565,-5663,1481,-9351,3665,?,?,?
272,'2024/12/09 03:08:18:467',1,17376,565,-5663,1481,-9351,3665,?,?,?
273,'2024/12/09 03:08:18:485',1,15787,62,-5653,1002,-8280,1985,?,?,?
274,'2024/12/09 03:08:18:502',1,15787,62,-5653,1002,-8280,1985,?,?,?
275,'2024/12/09 03:08:18:522',1,15787,62,-5653,1002,-8280,1985,?,?,?
276,'2024/12/09 03:08:18:542',1,15331,-141,-8177,-621,-4632,2142,?,?,?
